PROVINCIA,DISPOSITIVO,DESC_ESTADO_TRX,DESC_GRUPO_TIPO_TRX,DESC_MARCA,DESC_TIPO_DISPOSITIVO,DESC_TIPO_INSTITUCION,DESC_TIPO_UBICACION,INSTITUCION_ADQUIRENTE,INSTITUCION_AUTORIZADORA,NRO_TRANSACCIONES,TIPO,VALOR_TRANSACCION
GUAYAS,2061631-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,190
GUAYAS,2062312-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO DE MACHALA,1,INTERBANCARIAS,20
GUAYAS,2063476-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,4,Propias,1000
LOS RﾍOS,2063549-BANCO PICHINCHA,PROCESADA AUTORIZADA,CONSULTAS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO DE MACHALA,1,INTERBANCARIAS,0
MANABﾍ,2063432-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,130
ORELLANA,2061666-BANCO PICHINCHA,PROCESADA NO AUTORIZ,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO DE MACHALA,1,INTERBANCARIAS,100
SANTO DOMINGO DE LOS TSﾃ，HILAS,2063194-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,80
CAﾑAR,2170369-BANCO DEL AUSTRO,PROCESADA NO AUTORIZ,RETIROS,NCR     ,NO REGISTRADO,BANCOS,AGENCIA,BANCO DEL AUSTRO,BANCO DE MACHALA,4,INTERBANCARIAS,42
TUNGURAHUA,2063403-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,2,Propias,1000
GUAYAS,2060165-BANCO PICHINCHA,PROCESADA AUTORIZADA,CONSULTAS,DIEBOLD,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO DE MACHALA,1,INTERBANCARIAS,0
GUAYAS,2062366-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,130
LOS RﾍOS,2063067-BANCO PICHINCHA,PROCESADA NO AUTORIZ,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO DE MACHALA,2,INTERBANCARIAS,330
TUNGURAHUA,2063403-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,410
CAﾑAR,2170369-BANCO DEL AUSTRO,PROCESADA AUTORIZADA,RETIROS,NCR     ,NO REGISTRADO,BANCOS,AGENCIA,BANCO DEL AUSTRO,BANCO DE MACHALA,1,INTERBANCARIAS,50.5
LOS RﾍOS,2061766-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,50
GUAYAS,23404354-BANCO GUAYAQUIL,PROCESADA NO AUTORIZ,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,140.5
GUAYAS,2062672-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,100
GUAYAS,2330188-BANCO BOLIVARIANO,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO BOLIVARIANO,BANCO DE MACHALA,1,INTERBANCARIAS,50.5
SANTO DOMINGO DE LOS TSﾃ，HILAS,2063553-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,300
COTOPAXI,25229402-RED TRANSACCIONAL COONECTA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,AUXILIAR DE PAGOS,AGENCIA,RED TRANSACCIONAL COONECTA,BANCO DE MACHALA,2,INTERBANCARIAS,101
GUAYAS,2063474-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,2,Propias,220
GUAYAS,23407262-BANCO GUAYAQUIL,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO DE MACHALA,2,INTERBANCARIAS,201
MANABﾍ,2063432-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,50
GUAYAS,23402096-BANCO GUAYAQUIL,NO PROCESADA,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,30.5
GUAYAS,2060197-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,70
GUAYAS,23407262-BANCO GUAYAQUIL,PROCESADA NO AUTORIZ,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,ISLA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,200.5
GUAYAS,2060204-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,20
GUAYAS,25226315-RED TRANSACCIONAL COONECTA,PROCESADA AUTORIZADA,RETIROS,DIEBOLD,NO REGISTRADO,AUXILIAR DE PAGOS,AGENCIA,RED TRANSACCIONAL COONECTA,BANCO DE MACHALA,1,INTERBANCARIAS,60.5
GUAYAS,2063476-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,2,Propias,380
GUAYAS,23407040-BANCO GUAYAQUIL,PROCESADA NO AUTORIZ,RETIROS,DIEBOLD,NO REGISTRADO,BANCOS,AGENCIA,BANCO GUAYAQUIL,BANCO DE MACHALA,1,INTERBANCARIAS,100.5
GUAYAS,2063476-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,2,Propias,420
COTOPAXI,25225401-RED TRANSACCIONAL COONECTA,PROCESADA AUTORIZADA,CONSULTAS,DIEBOLD,NO REGISTRADO,AUXILIAR DE PAGOS,AGENCIA,RED TRANSACCIONAL COONECTA,BANCO DE MACHALA,1,INTERBANCARIAS,0
GUAYAS,2063474-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,3,Propias,310
GUAYAS,2061498-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO DE MACHALA,1,INTERBANCARIAS,20
GUAYAS,2063355-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,200
GUAYAS,2062360-BANCO PICHINCHA,PROCESADA NO AUTORIZ,RETIROS,DIEBOLD,CAJERO AUTOMATICO,BANCOS,ISLA,BANCO PICHINCHA,BANCO DE MACHALA,1,INTERBANCARIAS,40
GUAYAS,2063472-BANCO PICHINCHA,PROCESADA AUTORIZADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO PICHINCHA,1,Propias,50
MANABﾍ,2064000-BANCO PICHINCHA,NO PROCESADA,RETIROS,NCR     ,CAJERO AUTOMATICO,BANCOS,AGENCIA,BANCO PICHINCHA,BANCO DE MACHALA,1,INTERBANCARIAS,40
